2018, Ford , Escape SE ,11105,  4 Cyl 1.5 L,  Gold ,  4WD,  Description: Used 2018 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Split/Folding Seats ,1,19157
2017, Chevrolet , Trax LT 1LT,14817,  4 Cyl 1.4 L,  Gray ,  FWD,  Description: Used 2017 Chevrolet Trax LT with FWD Air Conditioning Alloy Wheels AM/FM Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera Remote Start Satellite Radio ,1,15500
2017, Chevrolet , Equinox LT ,35060,  4 Cyl 2.4 L,  Silver ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,16200
2017, Chevrolet , Equinox LT ,31354,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,16000
2017, Jeep , Cherokee Trailhawk ,68742,  6 Cyl 3.2 L,  Gray ,  4WD,  Description: Used 2017 Jeep Cherokee Trailhawk with 4WD Air Conditioning Aux Audio Adapter Cruise Control Fog Lights Front Airbags (Driver) Intermittent Wipers Power Steering Rear Window Defroster Split/Folding Seats Trip Computer ,1,19690
2017, Nissan , Rogue Sport SL ,21623,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Nissan Rogue Sport SL with AWD Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Remote Start ,1,19950
2017, Nissan , Pathfinder SV ,38439,  6 Cyl 3.5 L,  Silver ,  4WD,  Description: Used 2017 Nissan Pathfinder SV with 4WD Air Conditioning AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio Third Row Seating ,1,19995
2018, Jeep , Renegade Latitude ,20026,  4 Cyl 2.4 L,  Gray ,  4WD,  Description: Used 2018 Jeep Renegade Latitude with 4WD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Cruise Control Fog Lights Keyless Entry Power Steering Rear-View Camera Satellite Radio ,1,17590
2018, Nissan , Rogue S ,4663,  4 Cyl 2.5 L,  Unspecified ,  AWD,  Description: Used 2018 Nissan Rogue S with AWD Air Conditioning Alloy Wheels Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats ,1,18701
2018, Chevrolet , Trax LS ,20912,  4 Cyl 1.4 L,  Blue ,  AWD,  Description: Used 2018 Chevrolet Trax LS with AWD Air Conditioning AM/FM Aux Audio Adapter Cloth Seats Intermittent Wipers Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats ,1,14975
2017, Chevrolet , Equinox LT ,19135,  4 Cyl 2.4 L,  Blue ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,17500
2017, Nissan , Pathfinder S ,33543,  6 Cyl 3.5 L,  Black ,  4WD,  Description: Used 2017 Nissan Pathfinder S with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Rear-View Camera Satellite Radio Split/Folding Seats Third Row Seating ,1,18449
2017, Buick , Encore Preferred ,36315,  4 Cyl 1.4 L,  Blue ,  AWD,  Description: Used 2017 Buick Encore Preferred with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio Split/Folding Seats ,1,15995
2019, Kia , Sportage LX ,15708,  4 Cyl 2.4 L,  Silver ,  FWD,  Description: Used 2019 Kia Sportage LX with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera ,1,16995
2017, Mitsubishi , Outlander Sport ES ,23973,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Split/Folding Seats ,1,13995
2017, GMC , Terrain SLE SLE-2,24906,  4 Cyl 2.4 L,  Blue ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio ,1,19500
2017, Nissan , Rogue S ,20083,  4 Cyl 2.5 L,  Gray ,  AWD,  Description: Used 2017 Nissan Rogue S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio ,1,17437
2018, Nissan , Rogue S ,6669,  4 Cyl 2.5 L,  Gray ,  AWD,  Description: Used 2018 Nissan Rogue S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio ,1,19578
2017, Chevrolet , Equinox LT ,29588,  4 Cyl 2.4 L,  Blue ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,16600
2017, Chevrolet , Equinox Premier ,15985,  4 Cyl 2.4 L,  Blue ,  FWD,  Description: Used 2017 Chevrolet Equinox Premier with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Rear-View Camera Remote Start ,1,19700
